DistinguishedName,Enabled,GivenName,Name,ObjectClass,ObjectGUID,SamAccountName,SID,Surname,UserPrincipalName
"CN=Ezio Auditore,OU=Alsid,DC=alsid,DC=corp",TRUE,Ezio,Ezio Auditore,user,512470f0-624d-4743-81f2-30e140716cf7,ezio.auditore,S-1-5-21-3286942722-1835917726-286516016-1336,Auditore,ezio.auditore@ad.vulndomain.corp
"CN=Fernando Bolin,OU=Alsid,DC=alsid,DC=corp",TRUE,Fernando,Fernando Bolin,user,35c5ca6f-78ca-480f-bc23-a71999e254c8,fernando.bolin,S-1-5-21-3286942722-1835917726-286516016-1337,Bolin,fernando.bolin@ad.vulndomain.corp
"CN=Eldon Billings,OU=Alsid,DC=alsid,DC=corp",TRUE,Eldon,Eldon Billings,user,f57daa83-9670-4491-b4fd-fd33fa3f4777,eldon.billings,S-1-5-21-3286942722-1835917726-286516016-1338,Billings,eldon.billings@ad.vulndomain.corp
"CN=Luis Chambers,OU=Alsid,DC=alsid,DC=corp",TRUE,Luis,Luis Chambers,user,d53c40eb-e6ff-4a91-99c6-1b2a5c541b2a,luis.chambers,S-1-5-21-3286942722-1835917726-286516016-1339,Chambers,luis.chambers@ad.vulndomain.corp
"CN=Jeramy Burley,OU=Alsid,DC=alsid,DC=corp",TRUE,Jeramy,Jeramy Burley,user,e1c513dc-16fd-4431-b20c-997537a0a12d,jeramy.burley,S-1-5-21-3286942722-1835917726-286516016-1340,Burley,jeramy.burley@ad.vulndomain.corp
"CN=Desmond Beeler,OU=Alsid,DC=alsid,DC=corp",TRUE,Desmond,Desmond Beeler,user,f80c5b85-60f6-4a3e-90f3-5ec20f1e6877,desmond.beeler,S-1-5-21-3286942722-1835917726-286516016-1341,Beeler,desmond.beeler@ad.vulndomain.corp
"CN=Juan Callahan,OU=Alsid,DC=alsid,DC=corp",TRUE,Juan,Juan Callahan,user,4f55dfb2-2715-44df-b7cd-05f07a817391,juan.callahan,S-1-5-21-3286942722-1835917726-286516016-1342,Callahan,juan.callahan@ad.vulndomain.corp
"CN=Chance Baird,OU=Alsid,DC=alsid,DC=corp",TRUE,Chance,Chance Baird,user,401ba36d-114e-423a-bef4-71f81da9ae73,chance.baird,S-1-5-21-3286942722-1835917726-286516016-1343,Baird,chance.baird@ad.vulndomain.corp
"CN=Kristofer Carlson,OU=Alsid,DC=alsid,DC=corp",TRUE,Kristofer,Kristofer Carlson,user,a1086d73-293f-4c08-8ddc-0de2fe76241a,kristofer.carlson,S-1-5-21-3286942722-1835917726-286516016-1344,Carlson,kristofer.carlson@ad.vulndomain.corp
"CN=Dorian Bentley,OU=Alsid,DC=alsid,DC=corp",TRUE,Dorian,Dorian Bentley,user,c9b4e9ca-03df-44b6-96f0-0be719cdbcf7,dorian.bentley,S-1-5-21-3286942722-1835917726-286516016-1345,Bentley,dorian.bentley@ad.vulndomain.corp
"CN=Jude Callaway,OU=Alsid,DC=alsid,DC=corp",TRUE,Jude,Jude Callaway,user,b5bd45a7-5f20-4304-8db0-a1877081f87f,jude.callaway,S-1-5-21-3286942722-1835917726-286516016-1346,Callaway,jude.callaway@ad.vulndomain.corp
"CN=Van Helsing,OU=Alsid,DC=alsid,DC=corp",TRUE,Van,Van Helsing,user,46601452-f0e2-4dbf-8f46-06294ceb2d06,van.helsing,S-1-5-21-3286942722-1835917726-286516016-1347,Helsing,van.helsing@ad.vulndomain.corp
"CN=HAL 9000,OU=Alsid,DC=alsid,DC=corp",TRUE,HAL,HAL 9000,user,34894cb9-8f1e-4f50-88ae-a4da76bcc795,hal.9000,S-1-5-21-3286942722-1835917726-286516016-1348,9000,hal.9000@ad.vulndomain.corp
"CN=Daniel Baum,OU=Alsid,DC=alsid,DC=corp",TRUE,Daniel,Daniel Baum,user,96406a73-0a68-4497-838c-2462f76a44cf,daniel.baum,S-1-5-21-3286942722-1835917726-286516016-1349,Baum,daniel.baum@ad.vulndomain.corp
"CN=Charlie Sheen,OU=Alsid,DC=alsid,DC=corp",TRUE,Charlie,Charlie Sheen,user,1d33dd33-a625-40ba-8368-a3ff469bc7ca,charlie.sheen,S-1-5-21-3286942722-1835917726-286516016-1350,Sheen,charlie.sheen@ad.vulndomain.corp
"CN=Ferdinand Bolen,OU=Alsid,DC=alsid,DC=corp",TRUE,Ferdinand,Ferdinand Bolen,user,b22decd7-029e-4676-a4d7-43862501eeae,ferdinand.bolen,S-1-5-21-3286942722-1835917726-286516016-1351,Bolen,ferdinand.bolen@ad.vulndomain.corp
"CN=Chuck Barba,OU=Alsid,DC=alsid,DC=corp",TRUE,Chuck,Chuck Barba,user,733d1977-4b6b-4274-b49c-6b5027361b31,chuck.barba,S-1-5-21-3286942722-1835917726-286516016-1352,Barba,chuck.barba@ad.vulndomain.corp
"CN=Fredrick Boss,OU=Alsid,DC=alsid,DC=corp",TRUE,Fredrick,Fredrick Boss,user,54c2534d-a938-4bf7-9e86-fb36817a9a5e,fredrick.boss,S-1-5-21-3286942722-1835917726-286516016-1353,Boss,fredrick.boss@ad.vulndomain.corp
"CN=Gus Brannon,OU=Alsid,DC=alsid,DC=corp",TRUE,Gus,Gus Brannon,user,1e8ba187-7d7c-4db8-988a-575db1d75c72,gus.brannon,S-1-5-21-3286942722-1835917726-286516016-1354,Brannon,gus.brannon@ad.vulndomain.corp
"CN=Dane Baugh,OU=Alsid,DC=alsid,DC=corp",TRUE,Dane,Dane Baugh,user,894d6361-0fc4-4293-873f-a6ef87cb3531,dane.baugh,S-1-5-21-3286942722-1835917726-286516016-1355,Baugh,dane.baugh@ad.vulndomain.corp
"CN=Daryl Dixon,OU=Alsid,DC=alsid,DC=corp",TRUE,Daryl,Daryl Dixon,user,9d988c9f-6681-4dd8-8cd6-f845a5ab2af2,daryl.dixon,S-1-5-21-3286942722-1835917726-286516016-1356,Dixon,daryl.dixon@ad.vulndomain.corp
"CN=Leopoldo Casper,OU=Alsid,DC=alsid,DC=corp",TRUE,Leopoldo,Leopoldo Casper,user,3a90b5ea-3c90-4484-82f7-01a0f96ce1ba,leopoldo.casper,S-1-5-21-3286942722-1835917726-286516016-1357,Casper,leopoldo.casper@ad.vulndomain.corp
"CN=Carey Ayers,OU=Alsid,DC=alsid,DC=corp",TRUE,Carey,Carey Ayers,user,ec920d1b-2f06-481a-9c5b-792b7e772e86,carey.ayers,S-1-5-21-3286942722-1835917726-286516016-1358,Ayers,carey.ayers@ad.vulndomain.corp
"CN=Luciano Chadwick,OU=Alsid,DC=alsid,DC=corp",TRUE,Luciano,Luciano Chadwick,user,ab2fd290-8a51-4a82-a224-17681341eb79,luciano.chadwick,S-1-5-21-3286942722-1835917726-286516016-1359,Chadwick,luciano.chadwick@ad.vulndomain.corp
"CN=Lincoln Castle,OU=Alsid,DC=alsid,DC=corp",TRUE,Lincoln,Lincoln Castle,user,2f953183-6806-43f2-bd3d-43b07081c1b4,lincoln.castle,S-1-5-21-3286942722-1835917726-286516016-1360,Castle,lincoln.castle@ad.vulndomain.corp
"CN=Jamison Bunker,OU=Alsid,DC=alsid,DC=corp",TRUE,Jamison,Jamison Bunker,user,72474802-96e3-4369-b21a-ea24eb68d809,jamison.bunker,S-1-5-21-3286942722-1835917726-286516016-1361,Bunker,jamison.bunker@ad.vulndomain.corp
"CN=Lindsay Castleberry,OU=Alsid,DC=alsid,DC=corp",TRUE,Lindsay,Lindsay Castleberry,user,e5c3096f-3f61-4001-bfba-a1f3ab936230,lindsay.castleberry,S-1-5-21-3286942722-1835917726-286516016-1362,Castleberry,lindsay.castleberry@ad.vulndomain.corp
"CN=Rocky Balboa,OU=Alsid,DC=alsid,DC=corp",TRUE,Rocky,Rocky Balboa,user,84550f76-5e91-4d00-8a0d-8979ae9f6802,rocky.balboa,S-1-5-21-3286942722-1835917726-286516016-1363,Balboa,rocky.balboa@ad.vulndomain.corp
"CN=Edmundo Betz,OU=Alsid,DC=alsid,DC=corp",TRUE,Edmundo,Edmundo Betz,user,20500c61-c95c-4552-b068-5b2da5c960b3,edmundo.betz,S-1-5-21-3286942722-1835917726-286516016-1364,Betz,edmundo.betz@ad.vulndomain.corp
"CN=Dudley Berman,OU=Alsid,DC=alsid,DC=corp",TRUE,Dudley,Dudley Berman,user,d2fc219b-ebd2-4702-b31f-a164c7c71d10,dudley.berman,S-1-5-21-3286942722-1835917726-286516016-1365,Berman,dudley.berman@ad.vulndomain.corp
"CN=Benton Aponte,OU=Alsid,DC=alsid,DC=corp",TRUE,Benton,Benton Aponte,user,74e2f1f2-2f0a-4cea-a6e1-960dd0f36c54,benton.aponte,S-1-5-21-3286942722-1835917726-286516016-1366,Aponte,benton.aponte@ad.vulndomain.corp
"CN=Alejandro Adler,OU=Alsid,DC=alsid,DC=corp",TRUE,Alejandro,Alejandro Adler,user,a0cc3561-debe-4f1a-afc7-78c8c9c87731,alejandro.adler,S-1-5-21-3286942722-1835917726-286516016-1367,Adler,alejandro.adler@ad.vulndomain.corp
"CN=Lucius Chamberlain,OU=Alsid,DC=alsid,DC=corp",TRUE,Lucius,Lucius Chamberlain,user,30cfc08e-1e2a-44ad-90d7-69ed3a2136b3,lucius.chamberlain,S-1-5-21-3286942722-1835917726-286516016-1368,Chamberlain,lucius.chamberlain@ad.vulndomain.corp
"CN=Eusebio Blythe,OU=Alsid,DC=alsid,DC=corp",TRUE,Eusebio,Eusebio Blythe,user,78951fc7-b0ca-4052-9b8a-2db9c997bbfd,eusebio.blythe,S-1-5-21-3286942722-1835917726-286516016-1369,Blythe,eusebio.blythe@ad.vulndomain.corp
"CN=Hung Broughton,OU=Alsid,DC=alsid,DC=corp",TRUE,Hung,Hung Broughton,user,fcc24b81-af5d-4915-9582-a84e0f9232c3,hung.broughton,S-1-5-21-3286942722-1835917726-286516016-1370,Broughton,hung.broughton@ad.vulndomain.corp
"CN=Brandon Arteaga,OU=Alsid,DC=alsid,DC=corp",TRUE,Brandon,Brandon Arteaga,user,d7070661-5250-4d3c-8aa1-08d722f74a85,brandon.arteaga,S-1-5-21-3286942722-1835917726-286516016-1371,Arteaga,brandon.arteaga@ad.vulndomain.corp
"CN=Merlin Chung,OU=Alsid,DC=alsid,DC=corp",TRUE,Merlin,Merlin Chung,user,405ec752-fbd2-47db-95b4-24f1aaf5f275,merlin.chung,S-1-5-21-3286942722-1835917726-286516016-1372,Chung,merlin.chung@ad.vulndomain.corp
"CN=Garret Boudreaux,OU=Alsid,DC=alsid,DC=corp",TRUE,Garret,Garret Boudreaux,user,90836184-6da3-486b-9da9-a9c7b3f79996,garret.boudreaux,S-1-5-21-3286942722-1835917726-286516016-1373,Boudreaux,garret.boudreaux@ad.vulndomain.corp
"CN=Erick Blanton,OU=Alsid,DC=alsid,DC=corp",TRUE,Erick,Erick Blanton,user,69a48138-1924-4df9-b951-07f0e21b4e7c,erick.blanton,S-1-5-21-3286942722-1835917726-286516016-1374,Blanton,erick.blanton@ad.vulndomain.corp
"CN=Joel Button,OU=Alsid,DC=alsid,DC=corp",TRUE,Joel,Joel Button,user,663db17c-c434-4dc5-aeb7-b5e35f9bcf68,joel.button,S-1-5-21-3286942722-1835917726-286516016-1375,Button,joel.button@ad.vulndomain.corp
"CN=Erich Blankenship,OU=Alsid,DC=alsid,DC=corp",TRUE,Erich,Erich Blankenship,user,4d7846a1-b0cd-471b-ae3a-f900263ce02c,erich.blankenship,S-1-5-21-3286942722-1835917726-286516016-1376,Blankenship,erich.blankenship@ad.vulndomain.corp
"CN=Mikel Clarkson,OU=Alsid,DC=alsid,DC=corp",TRUE,Mikel,Mikel Clarkson,user,f8dc421b-2072-4d0e-91b9-2158a3e33c7f,mikel.clarkson,S-1-5-21-3286942722-1835917726-286516016-1377,Clarkson,mikel.clarkson@ad.vulndomain.corp
"CN=Kip Cardoza,OU=Alsid,DC=alsid,DC=corp",TRUE,Kip,Kip Cardoza,user,2c2ead06-c94f-494f-b6dc-be1aa4c305bf,kip.cardoza,S-1-5-21-3286942722-1835917726-286516016-1378,Cardoza,kip.cardoza@ad.vulndomain.corp
"CN=Christoper Baptiste,OU=Alsid,DC=alsid,DC=corp",TRUE,Christoper,Christoper Baptiste,user,888eec7e-c267-468e-aef6-3104bb4a01ef,christoper.baptiste,S-1-5-21-3286942722-1835917726-286516016-1379,Baptiste,christoper.baptiste@ad.vulndomain.corp
"CN=Booker Armstead,OU=Alsid,DC=alsid,DC=corp",TRUE,Booker,Booker Armstead,user,ee039d2f-c7e5-4ea9-8c3f-4ab7de0773fa,booker.armstead,S-1-5-21-3286942722-1835917726-286516016-1380,Armstead,booker.armstead@ad.vulndomain.corp
"CN=Maxwell Christie,OU=Alsid,DC=alsid,DC=corp",TRUE,Maxwell,Maxwell Christie,user,0e94105c-73dc-4324-bb44-f3df71f06c05,maxwell.christie,S-1-5-21-3286942722-1835917726-286516016-1381,Christie,maxwell.christie@ad.vulndomain.corp
"CN=Isreal Bruton,OU=Alsid,DC=alsid,DC=corp",TRUE,Isreal,Isreal Bruton,user,613a60fa-ce05-481d-89e2-4a584106b376,isreal.bruton,S-1-5-21-3286942722-1835917726-286516016-1382,Bruton,isreal.bruton@ad.vulndomain.corp
"CN=Cornelius Barry,OU=Alsid,DC=alsid,DC=corp",TRUE,Cornelius,Cornelius Barry,user,bc0bd7e4-2baa-494e-ab25-148a2410607c,cornelius.barry,S-1-5-21-3286942722-1835917726-286516016-1383,Barry,cornelius.barry@ad.vulndomain.corp
"CN=Emile Blais,OU=Alsid,DC=alsid,DC=corp",TRUE,Emile,Emile Blais,user,7dbfbd71-7198-4545-8b33-6fc9d5183f69,emile.blais,S-1-5-21-3286942722-1835917726-286516016-1384,Blais,emile.blais@ad.vulndomain.corp
"CN=Ahmad Acuna,OU=Alsid,DC=alsid,DC=corp",TRUE,Ahmad,Ahmad Acuna,user,3a4ee40c-258f-443f-be33-b2d1b88f5a2e,ahmad.acuna,S-1-5-21-3286942722-1835917726-286516016-1385,Acuna,ahmad.acuna@ad.vulndomain.corp
"CN=Frederick Borges,OU=Alsid,DC=alsid,DC=corp",TRUE,Frederick,Frederick Borges,user,5e7d163c-0cda-4b24-9f09-eb2d34bb0b68,frederick.borges,S-1-5-21-3286942722-1835917726-286516016-1386,Borges,frederick.borges@ad.vulndomain.corp
"CN=Jeff Lebowski,OU=Alsid,DC=alsid,DC=corp",TRUE,Jeff,Jeff Lebowski,user,4b4aed22-574f-4afe-ad63-91fb724391af,jeff.lebowski,S-1-5-21-3286942722-1835917726-286516016-1387,Lebowski,jeff.lebowski@ad.vulndomain.corp
"CN=Arnold Alston,OU=Alsid,DC=alsid,DC=corp",TRUE,Arnold,Arnold Alston,user,51375927-9b69-4d1e-aa1c-f523053a674c,arnold.alston,S-1-5-21-3286942722-1835917726-286516016-1388,Alston,arnold.alston@ad.vulndomain.corp
"CN=Scooby Doo,OU=Alsid,DC=alsid,DC=corp",TRUE,Scooby,Scooby Doo,user,0358f9f6-3b11-422a-a514-5a79b8474279,scooby.doo,S-1-5-21-3286942722-1835917726-286516016-1389,Doo,scooby.doo@ad.vulndomain.corp
"CN=Chang Baker,OU=Alsid,DC=alsid,DC=corp",TRUE,Chang,Chang Baker,user,d33ad76c-b895-4fbc-a60b-5de8f29066d9,chang.baker,S-1-5-21-3286942722-1835917726-286516016-1390,Baker,chang.baker@ad.vulndomain.corp
"CN=Chung Barbee,OU=Alsid,DC=alsid,DC=corp",TRUE,Chung,Chung Barbee,user,1b7cb418-9b5c-40da-8486-dbc1f4da580e,chung.barbee,S-1-5-21-3286942722-1835917726-286516016-1391,Barbee,chung.barbee@ad.vulndomain.corp
"CN=Bret Ashcraft,OU=Alsid,DC=alsid,DC=corp",TRUE,Bret,Bret Ashcraft,user,444a2c1b-86dd-43f3-a2ec-40d45cb8a2b8,bret.ashcraft,S-1-5-21-3286942722-1835917726-286516016-1392,Ashcraft,bret.ashcraft@ad.vulndomain.corp
"CN=Jamel Bumgarner,OU=Alsid,DC=alsid,DC=corp",TRUE,Jamel,Jamel Bumgarner,user,1d854f9d-9175-4d3d-9d7b-19c308d92aa1,jamel.bumgarner,S-1-5-21-3286942722-1835917726-286516016-1393,Bumgarner,jamel.bumgarner@ad.vulndomain.corp
"CN=Leon Cash,OU=Alsid,DC=alsid,DC=corp",TRUE,Leon,Leon Cash,user,11df71ab-7782-4ad6-ab53-31771dc48a98,leon.cash,S-1-5-21-3286942722-1835917726-286516016-1394,Cash,leon.cash@ad.vulndomain.corp
"CN=Vault Boy,OU=Alsid,DC=alsid,DC=corp",TRUE,Vault,Vault Boy,user,dc854100-17ad-46a4-ad65-7e639083ccd7,vault.boy,S-1-5-21-3286942722-1835917726-286516016-1395,Boy,vault.boy@ad.vulndomain.corp
"CN=Mariano Chesser,OU=Alsid,DC=alsid,DC=corp",TRUE,Mariano,Mariano Chesser,user,8f8b63f2-cf5f-4517-823d-121edd17f941,mariano.chesser,S-1-5-21-3286942722-1835917726-286516016-1396,Chesser,mariano.chesser@ad.vulndomain.corp
"CN=Michale Clancy,OU=Alsid,DC=alsid,DC=corp",TRUE,Michale,Michale Clancy,user,87a0078f-5552-452c-b718-30f982fc10e9,michale.clancy,S-1-5-21-3286942722-1835917726-286516016-1397,Clancy,michale.clancy@ad.vulndomain.corp
"CN=Lamont Carney,OU=Alsid,DC=alsid,DC=corp",TRUE,Lamont,Lamont Carney,user,99ad09f6-b3b4-4e85-956f-2420abc74e27,lamont.carney,S-1-5-21-3286942722-1835917726-286516016-1398,Carney,lamont.carney@ad.vulndomain.corp
"CN=Emory Blanchette,OU=Alsid,DC=alsid,DC=corp",TRUE,Emory,Emory Blanchette,user,b43c9b1b-7ee2-4254-8157-66e4369760a0,emory.blanchette,S-1-5-21-3286942722-1835917726-286516016-1399,Blanchette,emory.blanchette@ad.vulndomain.corp
"CN=Optimus Prime,OU=Alsid,DC=alsid,DC=corp",TRUE,Optimus,Optimus Prime,user,c0ded2e8-9183-4973-a7b5-2f8298dba9b0,optimus.prime,S-1-5-21-3286942722-1835917726-286516016-1400,Prime,optimus.prime@ad.vulndomain.corp
"CN=Ezekiel Bock,OU=Alsid,DC=alsid,DC=corp",TRUE,Ezekiel,Ezekiel Bock,user,4982a7e5-d3e5-48cd-a6c8-b9d70642c429,ezekiel.bock,S-1-5-21-3286942722-1835917726-286516016-1401,Bock,ezekiel.bock@ad.vulndomain.corp
"CN=Douglass Bergeron,OU=Alsid,DC=alsid,DC=corp",TRUE,Douglass,Douglass Bergeron,user,14dfbf11-0fcd-4962-bac4-e3df56c19685,douglass.bergeron,S-1-5-21-3286942722-1835917726-286516016-1402,Bergeron,douglass.bergeron@ad.vulndomain.corp
"CN=Jarrett Burchett,OU=Alsid,DC=alsid,DC=corp",TRUE,Jarrett,Jarrett Burchett,user,943636d8-8e4d-41cb-b5b2-35210098844e,jarrett.burchett,S-1-5-21-3286942722-1835917726-286516016-1403,Burchett,jarrett.burchett@ad.vulndomain.corp
"CN=Doyle Bergman,OU=Alsid,DC=alsid,DC=corp",TRUE,Doyle,Doyle Bergman,user,8b24748e-98e6-47d4-ac0a-34eedd315c85,doyle.bergman,S-1-5-21-3286942722-1835917726-286516016-1404,Bergman,doyle.bergman@ad.vulndomain.corp
"CN=Dalton Batson,OU=Alsid,DC=alsid,DC=corp",TRUE,Dalton,Dalton Batson,user,253f6bb8-a27b-4353-9df4-343470c392a6,dalton.batson,S-1-5-21-3286942722-1835917726-286516016-1405,Batson,dalton.batson@ad.vulndomain.corp
"CN=Diego Bell,OU=Alsid,DC=alsid,DC=corp",TRUE,Diego,Diego Bell,user,f7ec722f-da07-4d97-9b0e-d5ec1fa32419,diego.bell,S-1-5-21-3286942722-1835917726-286516016-1406,Bell,diego.bell@ad.vulndomain.corp
"CN=Jeffery Burkhart,OU=Alsid,DC=alsid,DC=corp",TRUE,Jeffery,Jeffery Burkhart,user,a50e7522-6434-4464-a050-f1912b18680d,jeffery.burkhart,S-1-5-21-3286942722-1835917726-286516016-1407,Burkhart,jeffery.burkhart@ad.vulndomain.corp
"CN=Conrad Barron,OU=Alsid,DC=alsid,DC=corp",TRUE,Conrad,Conrad Barron,user,d167b747-d0f1-46ac-85d6-501f7e6d0caf,conrad.barron,S-1-5-21-3286942722-1835917726-286516016-1408,Barron,conrad.barron@ad.vulndomain.corp
"CN=Elwood Blackmon,OU=Alsid,DC=alsid,DC=corp",TRUE,Elwood,Elwood Blackmon,user,c15aebab-dc47-467f-8628-e92bf5d8f26a,elwood.blackmon,S-1-5-21-3286942722-1835917726-286516016-1409,Blackmon,elwood.blackmon@ad.vulndomain.corp
"CN=Cole Baron,OU=Alsid,DC=alsid,DC=corp",TRUE,Cole,Cole Baron,user,bab470ce-42b3-40df-b1ab-7ecc1c071a22,cole.baron,S-1-5-21-3286942722-1835917726-286516016-1410,Baron,cole.baron@ad.vulndomain.corp
"CN=Isaac Bruce,OU=Alsid,DC=alsid,DC=corp",TRUE,Isaac,Isaac Bruce,user,fa609d76-89ff-4656-9d60-d552df45c20d,isaac.bruce,S-1-5-21-3286942722-1835917726-286516016-1411,Bruce,isaac.bruce@ad.vulndomain.corp
"CN=Gail Boswell,OU=Alsid,DC=alsid,DC=corp",TRUE,Gail,Gail Boswell,user,90aee618-338d-46c9-96ac-020ba72797aa,gail.boswell,S-1-5-21-3286942722-1835917726-286516016-1412,Boswell,gail.boswell@ad.vulndomain.corp
"CN=Carlton Babin,OU=Alsid,DC=alsid,DC=corp",TRUE,Carlton,Carlton Babin,user,2eb7a9c2-b7e9-4552-8807-ff3961577208,carlton.babin,S-1-5-21-3286942722-1835917726-286516016-1413,Babin,carlton.babin@ad.vulndomain.corp
"CN=Bobby Armijo,OU=Alsid,DC=alsid,DC=corp",TRUE,Bobby,Bobby Armijo,user,1fecf92c-6ec0-4d2a-af6e-f14653799e99,bobby.armijo,S-1-5-21-3286942722-1835917726-286516016-1414,Armijo,bobby.armijo@ad.vulndomain.corp
"CN=Blaine Archuleta,OU=Alsid,DC=alsid,DC=corp",TRUE,Blaine,Blaine Archuleta,user,a8616463-60ab-4fac-a641-368254a37a72,blaine.archuleta,S-1-5-21-3286942722-1835917726-286516016-1415,Archuleta,blaine.archuleta@ad.vulndomain.corp
"CN=Jon Caballero,OU=Alsid,DC=alsid,DC=corp",TRUE,Jon,Jon Caballero,user,8b853603-1e1c-4493-9444-cb9452bb9d81,jon.caballero,S-1-5-21-3286942722-1835917726-286516016-1416,Caballero,jon.caballero@ad.vulndomain.corp
"CN=Horace Brittain,OU=Alsid,DC=alsid,DC=corp",TRUE,Horace,Horace Brittain,user,fdedfd35-1d3f-40ac-9404-6cc72975ce43,horace.brittain,S-1-5-21-3286942722-1835917726-286516016-1417,Brittain,horace.brittain@ad.vulndomain.corp
"CN=Dylan Dog,OU=Alsid,DC=alsid,DC=corp",TRUE,Dylan,Dylan Dog,user,e70b61d3-091c-499a-877e-9050b55e572a,dylan.dog,S-1-5-21-3286942722-1835917726-286516016-1418,Dog,dylan.dog@ad.vulndomain.corp
"CN=Antwan Allison,OU=Alsid,DC=alsid,DC=corp",TRUE,Antwan,Antwan Allison,user,af56ec4d-fe1e-4f07-ae76-ced211ebcc9b,antwan.allison,S-1-5-21-3286942722-1835917726-286516016-1419,Allison,antwan.allison@ad.vulndomain.corp
"CN=Boyd Arnett,OU=Alsid,DC=alsid,DC=corp",TRUE,Boyd,Boyd Arnett,user,89547212-89a8-4354-b2d8-c5961e7426bb,boyd.arnett,S-1-5-21-3286942722-1835917726-286516016-1420,Arnett,boyd.arnett@ad.vulndomain.corp
"CN=Josef Cain,OU=Alsid,DC=alsid,DC=corp",TRUE,Josef,Josef Cain,user,056f0885-20ec-4008-a1fe-aef09692bc1f,josef.cain,S-1-5-21-3286942722-1835917726-286516016-1421,Cain,josef.cain@ad.vulndomain.corp
"CN=Ezra Bogan,OU=Alsid,DC=alsid,DC=corp",TRUE,Ezra,Ezra Bogan,user,2e47d0c1-ed2c-4600-8223-44307d2cb7e8,ezra.bogan,S-1-5-21-3286942722-1835917726-286516016-1422,Bogan,ezra.bogan@ad.vulndomain.corp
"CN=Bender Rodriguez,OU=Alsid,DC=alsid,DC=corp",TRUE,Bender,Bender Rodriguez,user,7c4b8d4e-8285-4377-ba63-7c085b05bfba,bender.rodriguez,S-1-5-21-3286942722-1835917726-286516016-1423,Rodriguez,bender.rodriguez@ad.vulndomain.corp
"CN=Forest Bonds,OU=Alsid,DC=alsid,DC=corp",TRUE,Forest,Forest Bonds,user,211ddd10-86ff-4440-85c4-60533fba2cbe,forest.bonds,S-1-5-21-3286942722-1835917726-286516016-1424,Bonds,forest.bonds@ad.vulndomain.corp
"CN=Cyril Bates,OU=Alsid,DC=alsid,DC=corp",TRUE,Cyril,Cyril Bates,user,d3c9b2c7-a36e-43ad-a525-5114310ee51f,cyril.bates,S-1-5-21-3286942722-1835917726-286516016-1425,Bates,cyril.bates@ad.vulndomain.corp
"CN=Buffy Summers,OU=Alsid,DC=alsid,DC=corp",TRUE,Buffy,Buffy Summers,user,74692b3a-f319-4edf-bb8d-9ad3032432fe,buffy.summers,S-1-5-21-3286942722-1835917726-286516016-1426,Summers,buffy.summers@ad.vulndomain.corp
"CN=Junior Camarillo,OU=Alsid,DC=alsid,DC=corp",TRUE,Junior,Junior Camarillo,user,0b9c2732-b440-4f80-9297-a2a30b53b2bf,junior.camarillo,S-1-5-21-3286942722-1835917726-286516016-1427,Camarillo,junior.camarillo@ad.vulndomain.corp
"CN=Earnest Bertram,OU=Alsid,DC=alsid,DC=corp",TRUE,Earnest,Earnest Bertram,user,1cc8ed37-511e-4a19-96b3-1bcb283a3a53,earnest.bertram,S-1-5-21-3286942722-1835917726-286516016-1428,Bertram,earnest.bertram@ad.vulndomain.corp
"CN=Kermit Carbajal,OU=Alsid,DC=alsid,DC=corp",TRUE,Kermit,Kermit Carbajal,user,a6fc219b-bf88-4779-b22a-7e9fe49f12e7,kermit.carbajal,S-1-5-21-3286942722-1835917726-286516016-1429,Carbajal,kermit.carbajal@ad.vulndomain.corp
"CN=Julius Camacho,OU=Alsid,DC=alsid,DC=corp",TRUE,Julius,Julius Camacho,user,d4e5e47e-4bd7-4796-9e14-0352afff4a24,julius.camacho,S-1-5-21-3286942722-1835917726-286516016-1430,Camacho,julius.camacho@ad.vulndomain.corp
"CN=Gayle Bowen,OU=Alsid,DC=alsid,DC=corp",TRUE,Gayle,Gayle Bowen,user,f39dd00f-d406-4ce6-adef-ac3bddc1b832,gayle.bowen,S-1-5-21-3286942722-1835917726-286516016-1431,Bowen,gayle.bowen@ad.vulndomain.corp
"CN=Leif Cartwright,OU=Alsid,DC=alsid,DC=corp",TRUE,Leif,Leif Cartwright,user,48b27f2a-ec6f-49dc-8adc-e2029fbd4b1e,leif.cartwright,S-1-5-21-3286942722-1835917726-286516016-1432,Cartwright,leif.cartwright@ad.vulndomain.corp
"CN=Ira Browning,OU=Alsid,DC=alsid,DC=corp",TRUE,Ira,Ira Browning,user,3d3b56a9-66d3-4b79-a391-099cbb70bf72,ira.browning,S-1-5-21-3286942722-1835917726-286516016-1433,Browning,ira.browning@ad.vulndomain.corp
"CN=Derrick Bedford,OU=Alsid,DC=alsid,DC=corp",TRUE,Derrick,Derrick Bedford,user,42e4a086-3d5b-48d3-99b9-6c8e300eab70,derrick.bedford,S-1-5-21-3286942722-1835917726-286516016-1434,Bedford,derrick.bedford@ad.vulndomain.corp
"CN=Ervin Blodgett,OU=Alsid,DC=alsid,DC=corp",TRUE,Ervin,Ervin Blodgett,user,8d7cd859-b61e-4a1a-9374-91ebd9242b73,ervin.blodgett,S-1-5-21-3286942722-1835917726-286516016-1435,Blodgett,ervin.blodgett@ad.vulndomain.corp
